,Movies,Year,Certificate,IMDB,Metascore,Votes,Gross,Runtime,Genre,Description
4726,Fahrenheit 451,2018,TV-14,4.9,-1.1,1341716,-1,100,"Drama, Sci-Fi, Thriller","In a terrifying care-free future, a young man, Guy Montag, whose job as a fireman is to burn all books, questions his actions after meeting a young woman - and begins to rebel against society."
4727,Batman Ninja,2018,PG-13,5.6,-1.1,1341716,-1,85,"Animation, Action, Sci-Fi","Batman, along with a number of his allies and adversaries, finds himself transplanted from modern Gotham City to feudal Japan."
4728,Life Itself,2018,R,6.8,21.0,1341716,4102648,117,"Drama, Romance","As a young New York City couple goes from college romance to marriage and the birth of their first child, the unexpected twists of their journey create reverberations that echo over continents and through lifetimes."
4729,A Private War,2018,R,6.7,75.0,1341716,1633208,110,"Biography, Drama, War","One of the most celebrated war correspondents of our time, Marie Colvin is an utterly fearless and rebellious spirit, driven to the frontline of conflicts across the globe to give voice to the voiceless."
4730,Teen Titans GO! To the Movies,2018,PG,6.8,69.0,1341716,29562341,84,"Animation, Action, Adventure",A villain's maniacal plan for world domination sidetracks five teenage superheroes who dream of Hollywood stardom.
4731,Vox Lux,2018,R,5.9,67.0,1341716,727119,114,"Drama, Music",An unusual set of circumstances brings unexpected success to a pop star.
4732,Never Look Away,2018,R,7.7,68.0,1341716,1304042,189,"Biography, Drama, Romance","German artist Kurt Barnert has escaped East Germany and now lives in West Germany, but is tormented by his childhood under the Nazis and the GDR-regime."
4733,The Man Who Killed Don Quixote,2018,Not Rated,6.4,58.0,1341716,391963,132,"Adventure, Comedy, Drama","Toby, a disillusioned film director, is pulled into a world of time-jumping fantasy when a Spanish cobbler believes himself to be Sancho Panza. He gradually becomes unable to tell dreams from reality."
4734,Private Life,2018,R,7.2,83.0,1341716,-1,123,"Comedy, Drama","An author is undergoing multiple fertility therapies to get pregnant, putting her relationship with her husband on edge."
4735,Ibiza,2018,TV-MA,5.2,56.0,1341716,-1,94,"Comedy, Romance",A young American woman and her two best friends seek out a hot DJ in Spain.
