,Movies,Year,Certificate,IMDB,Metascore,Votes,Gross,Runtime,Genre,Description
1669,Goya's Ghosts,2006,R,6.9,52.0,1341716,1000045,113,"Biography, Drama, History","Painter Francisco Goya faces a scandal involving his muse, who is labeled a heretic by a monk."
1670,Unknown,2006,Not Rated,6.5,44.0,1341716,144397,85,"Crime, Drama, Mystery",Five men wake up in a locked-down warehouse with no memory of who they are. They are forced to figure out who is good and who is bad to stay alive.
1671,Last Holiday,2006,PG-13,6.5,52.0,1341716,38360195,112,"Adventure, Comedy, Romance","Upon learning of a terminal illness, a shy woman decides to sell off all her possessions and live it up at a posh Central-European hotel."
1672,Them,2006,R,6.4,60.0,1341716,-1,77,"Horror, Thriller","Lucas and Clementine live peacefully in their isolated country house, but one night they wake up to strange noise... they're not alone... and a group of hooded assailants begin to terrorize them throughout the night."
1673,Hatchet,2006,R,5.7,57.0,1341716,155873,93,"Comedy, Horror, Thriller","When a group of tourists in a New Orleans haunted swamp tour find themselves stranded in the wilderness, their evening of fun and spooks turns into a horrific nightmare."
1674,School for Scoundrels,2006,PG-13,5.9,44.0,1341716,17803796,100,Comedy,"A young guy short on luck enrolls in a class to build confidence to help win over the girl of his dreams, which becomes complicated when it turns out his teacher has the same agenda."
1675,Death Note,2006,Not Rated,7.7,-1.1,1341716,-1,126,"Crime, Drama, Fantasy","A battle between the world's two greatest minds begins when Light Yagami finds the Death Note, a notebook with the power to kill, and decides to rid the world of criminals."
1676,Fido,2006,R,6.7,70.0,1341716,298110,93,"Comedy, Drama, Horror","Space radiation turns the dead into Zombies. Zomcon fights zombies and finds ways to pacify and use them. On pre-teen Timmy's (Kesun Loder's) 1950s suburban street, they all have a zombie doing menial chores. Timmy's zombie becomes his pet and friend, and is named Fido (Sir Billy Connolly)."
1677,Pulse,2006,PG-13,4.8,27.0,1341716,20259297,90,"Horror, Sci-Fi, Thriller","When their computer hacker friend accidentally channels a mysterious wireless signal, a group of co-eds rally to stop a terrifying evil from taking over the world."
1678,Barnyard,2006,PG,5.6,42.0,1341716,72779000,90,"Animation, Adventure, Comedy","When the farmer's away, all the animals play, and sing, and dance. Eventually, though, someone has to step in and run things, a responsibility that ends up going to Otis, a carefree cow."
1679,Miss Potter,2006,PG,6.9,57.0,1341716,2975649,88,"Biography, Drama, Romance","The story of Beatrix Potter, the author of the beloved and best-selling children's book, ""The Tale of Peter Rabbit"", and her struggle for love, happiness, and success."
1680,Friends with Money,2006,R,5.7,68.0,1341716,13367101,88,"Comedy, Drama, Romance","After she quits her lucrative job, Olivia finds herself unsure about her future and her relationships with her successful and wealthy friends."
1681,Peaceful Warrior,2006,PG-13,7.3,40.0,1341716,3960414,120,"Drama, Romance, Sport",A chance encounter with a stranger changes the life of a college gymnast.
1682,Stick It,2006,PG-13,6.4,53.0,1341716,26870825,103,"Comedy, Drama, Sport","After a run-in with the law, Haley Graham (Missy Peregrym) is forced to return to the world from which she fled some years ago. Enrolled in an elite gymnastics program run by the legendary Burt Vickerman (Jeff Bridges), Haley's rebellious attitude gives way to something that just might be called team spirit."
1683,See No Evil,2006,R,5.1,17.0,1341716,15032800,84,"Action, Horror, Thriller","A group of delinquents are sent to clean the Blackwell Hotel. Little do they know reclusive psychopath Jacob Goodnight has holed away in the rotting hotel. When one of the teens is captured, those who remain - a group that includes the cop who put a bullet in Goodnight's head four years ago - band together to survive against the brutal killer."
1684,Black Christmas,2006,R,4.6,22.0,1341716,16235293,95,Horror,"On Christmas Eve, an escaped maniac returns to his childhood home, which is now a sorority house, and begins to murder the sorority sisters one by one."
1685,A Guide to Recognizing Your Saints,2006,R,7.0,67.0,1341716,516139,100,"Crime, Drama","The movie is a coming-of-age drama about a boy growing up in Astoria, New York during the 1980s. As his friends end up dead, on drugs, or in prison. He comes to believe he has been saved from their fates by various so-called saints."
1686,Take the Lead,2006,PG-13,6.6,55.0,1341716,34742066,118,"Drama, Music",The real story of a dance teacher who believed in the talent of a group of problem kids.
1687,American Dreamz,2006,PG-13,5.4,45.0,1341716,7191830,107,"Comedy, Music","The new season of ""American Dreamz,"" the wildly popular television singing contest, has captured the country's attention, as the competition looks to be between a young Midwestern gal (Moore) and a showtunes-loving young man from Orange County (Golzari). Recently awakened President Staton (Quaid) even wants in on the craze, as he signs up for the potential explosive season finale."
1688,Catch and Release,2006,PG-13,6.0,43.0,1341716,15269668,124,"Comedy, Drama, Romance",A woman struggles to accept the death of her fiancé and the secrets he kept from her as she rebuilds her life.
1689,The Wild,2006,G,5.3,47.0,1341716,37384046,82,"Animation, Adventure, Comedy","An adolescent lion is accidentally shipped from the New York Zoo to Africa. Now running free, his zoo pals must put aside their differences to help bring him back."
1690,The Good German,2006,R,6.0,49.0,1341716,1308696,105,"Drama, Mystery, Romance","While in post-war Berlin to cover the Potsdam Conference, an American military journalist is drawn into a murder investigation which involves his former mistress and his driver."
1691,Dhoom 2,2006,Not Rated,6.5,-1.1,1341716,2643586,152,"Action, Crime, Thriller","Mr A, a fearless thief, steals valuable artefacts and teams up with the girl he is attracted to but who cannot be trusted. Close on their heels are three police officers trying to apprehend them."
1692,Amazing Grace,2006,PG,7.4,65.0,1341716,21208358,118,"Biography, Drama, History","The idealist William Wilberforce (Ioan Gruffudd) maneuvers his way through Parliament, endeavoring to end the British transatlantic slave trade."
1693,All the King's Men,2006,PG-13,6.2,37.0,1341716,7221458,128,"Drama, Thriller","Based on the Robert Penn Warren novel. The life of populist Southerner Willie Stark, a political creature loosely based on Governor Huey Long of Louisiana."
1694,Deck the Halls,2006,PG,5.0,28.0,1341716,35092918,93,"Comedy, Family",Two neighbors have it out after one of them decorates his house for the holidays so brightly that it can be seen from space.
1695,Stormbreaker,2006,PG,5.1,42.0,1341716,652526,93,"Action, Adventure, Family","After the death of his uncle, the 14-year-old schoolboy Alex Rider is forced by the Special Operations Division of the UK's secret intelligence service, MI6, into a mission which will save millions of lives."
1696,Let's Go to Prison,2006,R,6.0,27.0,1341716,4613815,84,"Comedy, Crime","When a career criminal's plan for revenge is thwarted by unlikely circumstances, he puts his intended victim's son in his place by putting him in prison...and then joining him."
1697,The Contract,2006,R,5.6,-1.1,1341716,-1,96,"Action, Crime, Drama","A father and his son attempt to bring in an assassin to the authorities, but his dangerous associates have other plans."
1698,Fast Food Nation,2006,R,6.3,64.0,1341716,1004059,116,"Comedy, Drama",An ensemble piece examining the health risks involved in the fast food industry and its environmental and social consequences as well.
1699,"I'm a Cyborg, But That's OK",2006,Not Rated,7.1,-1.1,1341716,-1,107,"Comedy, Drama, Romance","A girl who thinks she is a combat cyborg checks into a mental hospital, where she encounters other psychotics. Eventually, she falls for a man who thinks he can steal people's souls."
1700,Van Wilder 2: The Rise of Taj,2006,R,4.9,21.0,1341716,4261350,97,"Comedy, Romance","Taj Mahal Badalandabad leaves Coolidge College behind for the halls of Camford University in England, where he looks to continue his education, and teach an uptight student how to make the most out of her academic career."
1701,Khosla's Nest,2006,Not Rated,8.3,-1.1,1341716,26472,135,"Comedy, Crime, Drama",A Delhi based retired middle class man tries half-heartedly to get his land back from a swindling property dealer with the help of his sons and their friends.
1702,Starter for 10,2006,PG-13,6.7,69.0,1341716,210128,92,"Comedy, Drama, Romance","Set in 1985, working-class student Brian Jackson (McAvoy) navigates his first year at Bristol University."
1703,The Astronaut Farmer,2006,PG,6.3,55.0,1341716,10996440,104,"Adventure, Drama, Sci-Fi","A NASA astronaut, forced to retire years earlier so he could save his family farm, has never given up his dream of space travel and looks to build his own rocket, despite the government's threats to stop him."
1704,A Prairie Home Companion,2006,PG-13,6.7,75.0,1341716,20342852,105,"Comedy, Drama, Music","A look at what goes on backstage during the last broadcast of America's most celebrated radio show, where singing cowboys Dusty and Lefty, a country music siren, and a host of others hold court."
1705,Running with Scissors,2006,R,6.2,52.0,1341716,6754898,116,"Comedy, Drama","Young Augusten Burroughs absorbs experiences that could make for a shocking memoir: the son of an alcoholic father and an unstable mother, he's handed off to his mother's therapist, Dr. Finch, and spends his adolescent years as a member of Finch's bizarre extended family."
1706,Breaking and Entering,2006,R,6.5,56.0,1341716,928960,120,"Crime, Drama, Romance",A landscape architect's dealings with a young thief cause him to re-evaluate his life.
1707,Behind the Mask: The Rise of Leslie Vernon,2006,R,6.7,66.0,1341716,69136,92,"Comedy, Horror, Thriller",The next great psycho horror slasher has given a documentary crew exclusive access to his life as he plans his reign of terror over the sleepy town of Glen Echo.
1708,Material Girls,2006,PG,4.0,17.0,1341716,11441751,98,"Comedy, Family, Romance","Two wealthy sisters, both heiresses to their family's cosmetics fortune, are given a wake-up call when a scandal and ensuing investigation strip them of their wealth."
1709,Away from Her,2006,PG-13,7.5,88.0,1341716,4571521,110,Drama,"A man coping with the institutionalization of his wife because of Alzheimer's disease faces an epiphany when she transfers her affections to another man, Aubrey, a wheelchair-bound mute who also is a patient at the nursing home."
1710,Factory Girl,2006,R,6.5,45.0,1341716,1661464,90,"Biography, Drama","Based on the rise and fall of socialite Edie Sedgwick, concentrating on her relationships with Andy Warhol and a folk singer."
1711,Annapolis,2006,PG-13,5.9,37.0,1341716,17127992,108,"Drama, Romance, Sport","Set against the backdrop of boxing at the Naval Academy, centers on a young man from the wrong side of the tracks whose dream of attending Annapolis becomes a reality."
1712,The History Boys,2006,R,6.8,74.0,1341716,2706659,109,"Comedy, Drama, Romance","An unruly class of gifted and charming teenage boys are taught by two eccentric and innovative teachers, as their headmaster pushes for them all to get accepted into Oxford or Cambridge."
1713,Lonely Hearts,2006,R,6.4,60.0,1341716,188565,108,"Biography, Crime, Drama","Based on the true story, two homicide detectives track Martha Beck and Raymond Martinez Fernandez, a murderous pair known as the ""Lonely Hearts Killers"" who lured their victims through the personals."
1714,Hidden,2015,R,6.4,-1.1,1341716,-1,84,"Horror, Sci-Fi, Thriller",A family takes refuge in a bomb shelter to avoid a dangerous outbreak.
1715,The Namesake,2006,PG-13,7.5,82.0,1341716,8661334,122,Drama,"American-born Gogol, the son of Indian immigrants, wants to fit in among his fellow New Yorkers, despite his family's unwillingness to let go of their traditional ways."
1716,Omkara,2006,Not Rated,8.1,-1.1,1341716,789694,155,"Action, Crime, Drama",A politically-minded enforcer's misguided trust in his lieutenant leads him to suspect his wife of infidelity in this adaptation of Shakespeare's 'Othello'.
1717,Zoom,2006,PG,4.4,26.0,1341716,11631245,83,"Action, Adventure, Comedy",Former superhero Jack is called back to work to transform an unlikely group of ragtag kids into superheroes at a private academy.
1718,"OSS 117: Cairo, Nest of Spies",2006,Not Rated,7.1,62.0,1341716,302752,99,"Action, Adventure, Comedy","Secret agent OSS 117 foils Nazis, beds local beauties, and brings peace to the Middle East."
1719,Akeelah and the Bee,2006,PG,7.3,72.0,1341716,18811135,112,"Drama, Family",A young girl from South Los Angeles tries to make it to the National Spelling Bee.
1720,Krrish,2006,Not Rated,6.4,68.0,1341716,-1,154,"Action, Sci-Fi","Krishna is forced by circumstances to use his superpowers and become the masked superhero Krrish, before getting drawn towards his lost legacy."
1721,Kabhi Alvida Naa Kehna,2006,R,6.1,-1.1,1341716,3275443,193,"Drama, Romance","Dev, a former football player is married to Rhea, a successful fashion editor. Maya is a kindergarten teacher who is married to Rishi, an outgoing event planner. These couples' lives intersect and they each question their own marriage."
1722,The Shaggy Dog,2006,PG,4.4,43.0,1341716,61123569,98,"Comedy, Family, Fantasy",A man tries to live a normal life despite the fact that he sometimes turns into a sheepdog.
1723,Phir Hera Pheri,2006,Not Certified,6.9,-1.1,1341716,-1,153,"Comedy, Crime","Baburao, Raju and Shyam are living happily after having risen from rags to riches. Still, money brings the joy of riches and with it the greed to make more money. And so, with a don as an unknowing investor, Raju initiates a new game."
1724,Kidulthood,2006,R,6.8,-1.1,1341716,-1,89,"Crime, Drama, Romance",A day in the life of a group of troubled 15-year-olds growing up in west London.
1725,The Ultimate Gift,2006,PG,7.3,49.0,1341716,3438735,114,"Drama, Family, Romance","A deceased billionaire leaves his spoiled adult grandson a series of odd tasks to perform in order to receive ""the ultimate gift,"" with the resentful grandson having no idea what that might be."
1726,Open Water 2: Adrift,2006,R,5.2,-1.1,1341716,-1,94,"Adventure, Drama, Horror","When a group of friends fail to lower the ladder of their boat, they find themselves stranded in the surrounding waters and struggle to survive."
1727,Cold Prey,2006,Not Rated,6.3,-1.1,1341716,-1,97,"Horror, Thriller","5 young Norwegians head up to the mountains to snowboard. One breaks his leg and it's getting dark soon, so they spend the night in a big, abandoned hotel, closed 30 years ago. They are not alone."
1728,The Ex,2006,PG-13,5.5,32.0,1341716,3091922,89,"Comedy, Romance",A slacker is forced to work for his father-in-law after his pregnant wife steps away from her high-paying job.
1729,Valley of the Wolves: Iraq,2006,Not Certified,5.8,-1.1,1341716,-1,122,"Action, Drama, War","The film covers through fiction real-life events like the occupation of Iraq, the execution of Daniel Pearl, the Hood event and the Abu Ghraib torture scandal."
1730,Pledge This!,2006,R,1.8,-1.1,1341716,-1,91,Comedy,"At South Beach University, a beautiful sorority president takes in a group of unconventional freshman girls seeking acceptance into her house."
1731,Art School Confidential,2006,R,6.3,54.0,1341716,3296916,102,"Comedy, Drama, Romance","Starting from childhood attempts at illustration, the protagonist pursues his true obsession to art school. But as he learns how the art world really works, he finds that he must adapt his vision to the reality that confronts him."
1732,Taxidermia,2006,Not Rated,6.9,83.0,1341716,10205,91,"Comedy, Drama, Horror","Three generations of men, including a pervert that constantly seeks for new kinds of satisfaction, an obese speed eater and a passionate embalmer."
1733,Den brysomme mannen,2006,Not Rated,7.3,-1.1,1341716,-1,95,"Comedy, Drama, Fantasy",In a strange city where every person seems content beyond reason a new man arrives in town and stirs up trouble by asking too many questions.
1734,Infamous,2006,R,7.0,68.0,1341716,1150403,110,"Biography, Crime, Drama","While researching his novel ""In Cold Blood"", Truman Capote develops a close relationship with convicted murderers Dick Hickock and Perry Smith."
1735,The Hoax,2006,R,6.6,70.0,1341716,7156933,116,"Biography, Comedy, Drama","In what would cause a fantastic media frenzy, Clifford Irving sells his bogus biography of Howard Hughes to a premiere publishing house in the early 1970s."
1736,Facing the Giants,2006,PG,6.6,38.0,1341716,10178331,111,"Drama, Fantasy, Sport",A losing coach with an underdog football team faces their giants of fear and failure on and off the field to surprising results.
1737,Turks in Space,2006,Not Rated,1.7,-1.1,1341716,-1,110,"Action, Comedy, Sci-Fi",A family of Turks try to adapt to life in a new solar system.
1738,Renaissance,2006,R,6.7,57.0,1341716,63260,105,"Animation, Action, Sci-Fi","In 2054, Paris is a labyrinth where all movement is monitored and recorded. Casting a shadow over everything is the city's largest company, Avalon, which insinuates itself into every aspect of contemporary life to sell its primary export, youth and beauty. In this world of stark contrasts and rigid laws, the populace is kept in line and accounted for."
1739,Death Note: The Last Name,2006,Not Rated,7.2,-1.1,1341716,-1,141,"Adventure, Crime, Drama","Picking up where the first one leaves off, Light joins the task force searching for Kira in an effort to avert suspicion from himself---and get rid of L."
1740,Curious George,2006,G,6.5,62.0,1341716,58640119,87,"Animation, Adventure, Comedy","The Man in the Yellow Hat is an oddball museum employee who looks after his pet monkey, an inquisitive and wonderful creature whose enthusiasm often gets the best of him."
1741,Freedomland,2006,R,5.1,43.0,1341716,12512886,113,"Crime, Drama, Mystery",A black police detective must solve a strange case of a kidnapped boy and deal with a big racial protest.
1742,Fur: An Imaginary Portrait of Diane Arbus,2006,R,6.5,50.0,1341716,220914,122,"Biography, Drama, Romance","Turning her back on her wealthy, established family, Diane Arbus falls in love with Lionel Sweeney, an enigmatic mentor who introduces Arbus to the marginalized people who help her become one of the most revered photographers of the twentieth century."
1743,Wedding Daze,2006,R,5.6,-1.1,1341716,-1,90,"Comedy, Romance","A guy proposes to his girlfriend, who drops dead. His BFF tries to get him to date other women but he only talks about his dead big love. At a diner he proposes to a cute waitress just to get his BFF off his back. She says yes."
1744,Hotchpotch: Fun Unlimited,2006,Not Certified,7.4,-1.1,1341716,-1,150,"Action, Comedy, Drama",Four runaway crooks take shelter in a bungalow which is owned by a blind couple.
1745,The Night Listener,2006,R,5.9,51.0,1341716,7825820,91,"Crime, Drama, Horror","In the midst of his crumbling relationship, a radio show host begins speaking to his biggest fan, a young boy, via the telephone. But when questions about the boy's identity come up, the host's life is thrown into chaos."
1746,The Dead Girl,2006,R,6.6,65.0,1341716,17311,85,"Crime, Drama, Mystery",The clues to a young woman's death come together as the lives of seemingly unrelated people begin to intersect.
1747,10 Items or Less,2006,R,6.6,54.0,1341716,81416,82,"Comedy, Drama","An actor (Freeman) prepping for an upcoming role meets a quirky grocery clerk (Vega), and the pair hit the road to show one another their respective worlds."
1748,The Unknown Woman,2006,R,7.4,56.0,1341716,18569,118,"Drama, Mystery, Thriller","Haunted by a horrible past, a Ukrainian young woman calculatedly insinuates herself into the life of a rich Italian family."
1749,Days of Glory,2006,R,7.0,82.0,1341716,317594,120,"Action, Drama, War","During WWII, four North African men enlist in the French army to liberate that country from Nazi oppression, and to fight French discrimination."
1750,No Country for Old Men,2007,R,8.1,91.0,1341716,74283625,122,"Crime, Drama, Thriller",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
1751,I Am Legend,2007,PG-13,7.2,65.0,1341716,256386216,101,"Action, Adventure, Drama","Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure."
1752,Ratatouille,2007,G,8.0,96.0,1341716,206445654,111,"Animation, Adventure, Comedy",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.
1753,The Bourne Ultimatum,2007,PG-13,8.0,85.0,1341716,227471070,115,"Action, Mystery, Thriller",Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
1754,Transformers,2007,PG-13,7.0,61.0,1341716,319246193,144,"Action, Adventure, Sci-Fi","An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager."
1755,Pirates of the Caribbean: At World's End,2007,PG-13,7.1,50.0,1341716,309420425,169,"Action, Adventure, Fantasy","Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle."
1756,Into the Wild,2007,R,8.1,73.0,1341716,18354356,148,"Adventure, Biography, Drama","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
1757,Superbad,2007,R,7.6,76.0,1341716,121463226,113,Comedy,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.
1758,There Will Be Blood,2007,R,8.2,93.0,1341716,40222514,158,Drama,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
1759,Harry Potter and the Order of the Phoenix,2007,PG-13,7.5,71.0,1341716,292004738,138,"Action, Adventure, Family","With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts."
1760,Spider-Man 3,2007,PG-13,6.2,59.0,1341716,336530303,139,"Action, Adventure, Sci-Fi","A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge."
1761,Juno,2007,PG-13,7.4,81.0,1341716,143495265,96,"Comedy, Drama","Faced with an unplanned pregnancy, an offbeat young person makes an unusual decision regarding the unborn child."
1762,Zodiac,2007,R,7.7,78.0,1341716,33080084,157,"Crime, Drama, Mystery","In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
1763,Hot Fuzz,2007,R,7.8,81.0,1341716,23637265,121,"Action, Comedy, Mystery",A skilled London police officer is transferred to a small town with a dark secret.
1764,American Gangster,2007,R,7.8,76.0,1341716,130164645,157,"Biography, Crime, Drama","An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film."
1765,Live Free or Die Hard,2007,PG-13,7.1,69.0,1341716,134529403,128,"Action, Thriller",John McClane and a young hacker join forces to take down master cyber-terrorist Thomas Gabriel in Washington D.C.
1766,Knocked Up,2007,R,6.9,85.0,1341716,148734225,129,"Comedy, Romance","For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child."
1767,Sweeney Todd: The Demon Barber of Fleet Street,2007,R,7.3,83.0,1341716,52898073,116,"Drama, Horror, Musical","The infamous story of Benjamin Barker, aka Sweeney Todd, who sets up a barber shop in London which is the basis for a sinister partnership with his fellow tenant, Mrs. Lovett."
1768,Ocean's Thirteen,2007,PG-13,6.9,62.0,1341716,117154724,122,"Action, Crime, Thriller","Danny Ocean rounds up the boys for a third heist after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff."
1769,Shooter,2007,R,7.2,53.0,1341716,47003582,124,"Action, Drama, Thriller","A marksman living in exile is coaxed back into action after learning of a plot to kill the President. After being double crossed for the attempt and on the run, he sets out for the real killer and the truth."
1770,The Simpsons Movie,2007,PG-13,7.3,80.0,1341716,183135014,87,"Animation, Adventure, Comedy","After Homer pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives."
1771,3:10 to Yuma,2007,R,7.7,76.0,1341716,53606916,122,"Action, Crime, Drama",A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
1772,The Mist,2007,R,7.1,58.0,1341716,25593755,126,"Horror, Sci-Fi, Thriller","A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives."
1773,Shrek the Third,2007,PG,6.1,58.0,1341716,320706665,93,"Animation, Adventure, Comedy","Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming."
1774,Death Proof,2007,TV-MA,7.0,-1.1,1341716,-1,127,"Action, Adventure, Thriller","Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his ""death proof"" cars to execute his murderous plans."
1775,28 Weeks Later,2007,R,7.0,78.0,1341716,28638916,100,"Action, Horror, Sci-Fi","Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes according to plan."
1776,1408,2007,PG-13,6.8,64.0,1341716,71985628,104,"Fantasy, Horror, Mystery","A man who specialises in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror."
1777,Stardust,2007,PG-13,7.6,66.0,1341716,38634938,127,"Adventure, Family, Fantasy","In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm."
1778,Atonement,2007,R,7.8,85.0,1341716,50927067,123,"Drama, Mystery, Romance",Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
1779,Fantastic 4: Rise of the Silver Surfer,2007,PG,5.6,45.0,1341716,131921738,92,"Action, Adventure, Fantasy",The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.
1780,Gone Baby Gone,2007,R,7.6,72.0,1341716,20300218,114,"Crime, Drama, Mystery","Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally."
1781,Sunshine,2007,R,7.2,64.0,1341716,3675753,107,"Sci-Fi, Thriller",A team of international astronauts are sent on a dangerous mission to reignite the dying Sun with a nuclear fission bomb in 2057.
1782,The Bucket List,2007,PG-13,7.4,42.0,1341716,93466502,97,"Adventure, Comedy, Drama",Two terminally ill men escape from a cancer ward and head off on a road trip with a wish list of to-dos before they die.
1783,Eastern Promises,2007,R,7.6,82.0,1341716,17114882,100,"Action, Crime, Drama",A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.
1784,Ghost Rider,2007,PG-13,5.2,35.0,1341716,115802596,110,"Action, Fantasy, Thriller","When motorcycle rider Johnny Blaze sells his soul to the Devil to save his father's life, he is transformed into the Ghost Rider, the Devil's own bounty hunter, and is sent to hunt down sinners."
1785,Disturbia,2007,PG-13,6.8,62.0,1341716,80209692,105,"Crime, Drama, Mystery",A teen living under house arrest becomes convinced his neighbor is a serial killer.
1786,Paranormal Activity,2007,R,6.3,68.0,1341716,107918810,86,"Horror, Mystery","After moving into a suburban home, a couple becomes increasingly disturbed by a nightly demonic presence."
1787,National Treasure: Book of Secrets,2007,PG,6.5,48.0,1341716,219964115,124,"Action, Adventure, Mystery",Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.
1788,P.S. I Love You,2007,PG-13,7.0,39.0,1341716,53695808,126,"Comedy, Drama, Romance",A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.
1789,Planet Terror,2007,R,7.1,-1.1,1341716,-1,105,"Action, Adventure, Comedy","After an experimental bio-weapon is released, turning thousands into zombie-like creatures, it's up to a rag-tag group of survivors to stop the infected and those behind its release."
1790,The Number 23,2007,R,6.4,-1.1,1341716,35193167,98,"Crime, Mystery, Thriller","Walter Sparrow becomes obsessed with a novel that he believes was written about him, as more and more similarities between himself and his literary alter ego seem to arise."
1791,Fracture,2007,R,7.2,68.0,1341716,39015018,113,"Crime, Drama, Thriller",An attorney intending on climbing the career ladder toward success finds an unlikely opponent in a manipulative criminal he is trying to prosecute.
1792,Resident Evil: Extinction,2007,R,6.3,41.0,1341716,50648679,94,"Action, Horror, Sci-Fi","Survivors of the Raccoon City catastrophe travel across the Nevada desert, hoping to make it to Alaska. Alice joins the caravan and their fight against the evil Umbrella Corp."
1793,The Darjeeling Limited,2007,R,7.2,67.0,1341716,11902715,91,"Adventure, Comedy, Drama","A year after their father's funeral, three brothers travel across India by train in an attempt to bond with each other."
1794,The Golden Compass,2007,PG-13,6.1,51.0,1341716,70107728,113,"Adventure, Family, Fantasy","In a parallel universe, young Lyra Belacqua journeys to the far North to save her best friend and other kidnapped children from terrible experiments by a mysterious organization."
1795,Grindhouse,2007,R,7.5,77.0,1341716,25031037,191,"Action, Horror, Thriller",Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the '60s and '70s with two back-to-back cult films that include previews of coming attractions between them.
1796,Enchanted,2007,PG,7.0,75.0,1341716,127807262,107,"Animation, Comedy, Family","A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer."
1797,The Man from Earth,2007,Not Rated,7.9,-1.1,1341716,-1,87,"Drama, Fantasy, Mystery",An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.
1798,The Assassination of Jesse James by the Coward Robert Ford,2007,R,7.5,68.0,1341716,3904982,160,"Biography, Crime, Drama","Robert Ford, who's idolized Jesse James since childhood, tries hard to join the reforming gang of the Missouri outlaw, but gradually becomes resentful of the bandit leader."
1799,Like Stars on Earth,2007,PG,8.4,-1.1,1341716,1223869,165,"Drama, Family","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
1800,REC,2007,R,7.4,69.0,1341716,-1,78,"Action, Adventure, Fantasy",A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.
1801,30 Days of Night,2007,R,6.6,53.0,1341716,39568996,113,"Action, Horror, Thriller","After an Alaskan town is plunged into darkness for a month, it is attacked by a bloodthirsty gang of vampires."
1802,Beowulf,2007,PG-13,6.2,59.0,1341716,82161969,115,"Animation, Action, Adventure","The warrior Beowulf must fight and defeat the monster Grendel, who is terrorizing Denmark, and later, Grendel's Mother, who begins killing out of revenge."
